Country,Year,Reported Cholera Cases
AUS,1979,1
BDI,1979,915
BGD,1979,2154
BHR,1979,39
CHN,1979,85
CIV,1979,3
CMR,1979,16
COD,1979,5515
COG,1979,5
DZA,1979,2513
ESP,1979,267
FRA,1979,8
GAB,1979,5
GHA,1979,1783
IDN,1979,18817
IND,1979,5073
IRN,1979,1856
ITA,1979,8
JOR,1979,141
JPN,1979,11
KEN,1979,1070
KWT,1979,3
LBR,1979,438
LKA,1979,46
MMR,1979,874
MOZ,1979,4564
MYS,1979,502
NGA,1979,293
NLD,1979,5
NPL,1979,22
NRU,1979,50
PHL,1979,1268
RWA,1979,5
SAU,1979,23
SDN,1979,845
SEN,1979,103
SGP,1979,10
SWE,1979,1
SYR,1979,689
THA,1979,1788
TZA,1979,2559
UGA,1979,940
VNM,1979,365
YEM,1979,1953
ZAF,1979,2
ZMB,1979,12
