Country,Year,Reported Cholera Deaths
AGO,2006,2722
AUS,2006,0
BDI,2006,7
BEN,2006,1
BFA,2006,0
BWA,2006,0
CAF,2006,0
CAN,2006,0
CHE,2006,0
CHN,2006,2
CIV,2006,15
CMR,2006,35
COD,2006,426
COG,2006,10
COM,2006,0
CPV,2006,0
DEU,2006,0
DZA,2006,0
ERI,2006,0
ESP,2006,0
ETH,2006,575
FRA,2006,0
GAB,2006,0
GBR,2006,0
GHA,2006,107
GIN,2006,219
GMB,2006,0
GNB,2006,0
GNQ,2006,0
IND,2006,3
ITA,2006,0
JPN,2006,0
KEN,2006,11
LBR,2006,17
LSO,2006,0
MDG,2006,0
MLI,2006,0
MOZ,2006,29
MRT,2006,0
MUS,2006,0
MWI,2006,55
MYS,2006,2
NAM,2006,5
NER,2006,81
NGA,2006,127
NLD,2006,0
NOR,2006,0
PHL,2006,1
RUS,2006,0
RWA,2006,21
SDN,2006,1011
SEN,2006,10
SLE,2006,99
STP,2006,9
SWE,2006,0
SWZ,2006,0
SYC,2006,0
TCD,2006,71
TGO,2006,25
THA,2006,0
TZA,2006,254
UGA,2006,106
USA,2006,0
ZAF,2006,0
ZMB,2006,183
ZWE,2006,61
