Country,Year,Reported Cholera Cases
AUS,1980,2
BDI,1980,2039
BEL,1980,1
BEN,1980,3
CHN,1980,88
CMR,1980,229
COD,1980,1051
DEU,1980,4
DZA,1980,614
ESP,1980,4
FRA,1980,1
GBR,1980,6
GHA,1980,260
IDN,1980,5541
IND,1980,8344
IRN,1980,1599
JPN,1980,23
KEN,1980,2808
KOR,1980,145
LBR,1980,2690
LKA,1980,104
MMR,1980,1018
MOZ,1980,1212
MYS,1980,97
NGA,1980,138
NPL,1980,1
PHL,1980,836
PRK,1980,170
RWA,1980,30
SAU,1980,2
SDN,1980,17
SGP,1980,18
THA,1980,4331
TZA,1980,5196
UGA,1980,1539
VNM,1980,978
WSM,1980,1
YEM,1980,720
ZAF,1980,859
ZMB,1980,57
