Country,Year,Reported Cholera Deaths
AFG,2000,198
BDI,2000,16
BEN,2000,11
BFA,2000,14
BGD,2000,16
BRA,2000,17
CAN,2000,0
CHN,2000,3
CMR,2000,29
COD,2000,941
COG,2000,2
COM,2000,91
DJI,2000,32
ECU,2000,1
FRA,2000,0
FSM,2000,20
GHA,2000,74
GIN,2000,32
GTM,2000,6
HND,2000,0
IND,2000,20
IRN,2000,3
IRQ,2000,4
JPN,2000,0
KEN,2000,78
LBR,2000,10
LKA,2000,0
MDG,2000,1672
MEX,2000,0
MHL,2000,6
MLI,2000,51
MOZ,2000,238
MWI,2000,56
MYS,2000,1
NER,2000,38
NGA,2000,43
NIC,2000,0
PER,2000,6
PHL,2000,6
RWA,2000,8
SGP,2000,0
SLV,2000,2
SOM,2000,563
SWZ,2000,16
TGO,2000,23
TZA,2000,156
UGA,2000,172
USA,2000,0
VEN,2000,0
ZAF,2000,68
ZMB,2000,303
ZWE,2000,223
