Country,Year,Cholera Case Fatality Rate
AUS,1980,0
BDI,1980,1.37
BEL,1980,0
BEN,1980,0
CHN,1980,0
CMR,1980,10.04
COD,1980,7.71
DEU,1980,0
DZA,1980,2.93
ESP,1980,0
FRA,1980,0
GHA,1980,8.08
IDN,1980,2.71
IND,1980,3.68
IRN,1980,2
JPN,1980,0
KEN,1980,1.5
KOR,1980,2.76
LBR,1980,2.04
LKA,1980,3.85
MMR,1980,4.91
MOZ,1980,7.01
MYS,1980,7.22
NGA,1980,18.12
NPL,1980,0
PHL,1980,7.3
PRK,1980,0
RWA,1980,13.33
SAU,1980,0
SDN,1980,11.76
SGP,1980,0
THA,1980,1.96
TZA,1980,11.3
UGA,1980,11.76
VNM,1980,5.01
WSM,1980,0
YEM,1980,2.78
ZAF,1980,1.86
ZMB,1980,29.82
