Country,Year,Reported Cholera Cases
AFG,1998,10000
ARG,1998,12
ARM,1998,25
AUS,1998,5
AUT,1998,1
BDI,1998,1067
BEN,1998,206
BFA,1998,1036
BGD,1998,1067
BLZ,1998,28
BOL,1998,466
BRA,1998,2571
BTN,1998,19
CAF,1998,22
CAN,1998,2
CHE,1998,2
CHL,1998,24
CHN,1998,4642
CMR,1998,4603
COD,1998,34899
COG,1998,3222
COL,1998,442
COM,1998,7300
CPV,1998,133
DEU,1998,5
DJI,1998,164
ECU,1998,3724
FIN,1998,1
FRA,1998,2
GBR,1998,18
GHA,1998,3426
GIN,1998,881
GNB,1998,126
GTM,1998,5970
HND,1998,306
IND,1998,7151
IRN,1998,270
IRQ,1998,53
ITA,1998,2
JPN,1998,60
KEN,1998,22432
KHM,1998,1197
LBR,1998,2123
LKA,1998,1536
MEX,1998,71
MOZ,1998,42672
MWI,1998,1745
MYS,1998,1304
NGA,1998,3464
NIC,1998,1437
NLD,1998,4
NOR,1998,2
NPL,1998,1745
NZL,1998,1
PER,1998,41717
PHL,1998,729
RUS,1998,10
RWA,1998,3220
SGP,1998,31
SLE,1998,2096
SLV,1998,8
SOM,1998,4417
SWZ,1998,7
TCD,1998,4095
TGO,1998,3217
TZA,1998,14488
UGA,1998,49514
USA,1998,17
VEN,1998,313
VNM,1998,13
ZAF,1998,20
ZMB,1998,171
ZWE,1998,995
