Country,Year,Reported Cholera Deaths
AFG,2011,44
AGO,2011,110
AUS,2011,0
BDI,2011,1
BEN,2011,4
BFA,2011,2
BRA,2011,0
CAF,2011,15
CHL,2011,0
CIV,2011,24
CMR,2011,783
COD,2011,584
DEU,2011,0
DJI,2011,1
DOM,2011,336
FRA,2011,0
GBR,2011,0
GHA,2011,105
GIN,2011,0
HTI,2011,2869
IRN,2011,12
KEN,2011,2
MEX,2011,0
MLI,2011,95
MOZ,2011,5
MRT,2011,3
MWI,2011,4
MYS,2011,10
NER,2011,60
NGA,2011,742
PAK,2011,219
PHL,2011,3
PNG,2011,2
SOM,2011,1130
SWE,2011,0
TCD,2011,458
TGO,2011,0
THA,2011,4
TZA,2011,11
UKR,2011,0
USA,2011,0
VEN,2011,0
YEM,2011,134
ZMB,2011,7
ZWE,2011,2
