Country,Year,Reported Cholera Cases
AGO,1972,268
ARE,1972,2
AUS,1972,40
BEN,1972,250
BFA,1972,1
BGD,1972,1059
BHR,1972,74
CMR,1972,362
DEU,1972,2
DJI,1972,8
DZA,1972,646
GBR,1972,2
GHA,1972,625
IDN,1972,44383
IND,1972,20435
IRN,1972,322
ISR,1972,11
KEN,1972,51
LBR,1972,947
MAR,1972,7
MLI,1972,2
MMR,1972,180
MRT,1972,148
MYS,1972,864
NER,1972,51
NGA,1972,1363
NPL,1972,1
NZL,1972,3
PHL,1972,5601
SAU,1972,303
SEN,1972,379
SGP,1972,114
SYR,1972,505
TCD,1972,9
TGO,1972,16
TUN,1972,4
VNM,1972,146
YEM,1972,1064
