Country,Year,Reported Cholera Deaths
AUS,1980,0
BDI,1980,28
BEL,1980,0
BEN,1980,0
CHE,1980,0
CHN,1980,0
CMR,1980,23
COD,1980,81
DEU,1980,0
DZA,1980,18
ESP,1980,0
FRA,1980,0
GHA,1980,21
IDN,1980,150
IND,1980,307
IRN,1980,32
JPN,1980,0
KEN,1980,42
KOR,1980,4
LBR,1980,55
LKA,1980,4
MMR,1980,50
MOZ,1980,85
MYS,1980,7
NGA,1980,25
NPL,1980,0
PHL,1980,61
PRK,1980,0
RUS,1980,0
RWA,1980,4
SAU,1980,0
SDN,1980,2
SGP,1980,0
THA,1980,85
TZA,1980,587
UGA,1980,181
VNM,1980,49
WSM,1980,0
YEM,1980,20
ZAF,1980,16
ZMB,1980,17
