Country,Year,Cholera Case Fatality Rate
AFG,2008,0.5
AGO,2008,2.31
BDI,2008,1.71
BEN,2008,0.51
BFA,2008,0
BWA,2008,12.5
CAN,2008,0
CHN,2008,0
CIV,2008,14.29
CMR,2008,0
COD,2008,1.82
COG,2008,2.56
COM,2008,0
DNK,2008,0
ERI,2008,0
ESP,2008,0
ETH,2008,0.6
FIN,2008,0
FRA,2008,0
GAB,2008,0
GBR,2008,0
GHA,2008,2.04
GIN,2008,6.24
GMB,2008,0
GNB,2008,1.57
IDN,2008,2.68
IND,2008,0.04
IRN,2008,5.56
IRQ,2008,1.19
KAZ,2008,0
KEN,2008,3.66
LAO,2008,0
LBR,2008,0.24
MEX,2008,0
MLI,2008,3.27
MMR,2008,2.22
MOZ,2008,1.12
MWI,2008,3.13
NAM,2008,1.09
NER,2008,7.2
NGA,2008,4.57
NLD,2008,0
RWA,2008,0
SDN,2008,0.68
SEN,2008,1.56
SLE,2008,1.61
SOM,2008,1.25
STP,2008,3.36
SWZ,2008,0
SYC,2008,0
TGO,2008,0.76
THA,2008,0.69
TZA,2008,3.02
UGA,2008,3.22
USA,2008,0
VNM,2008,0
ZAF,2008,0.56
ZMB,2008,1.89
ZWE,2008,4.88
