Country,Year,Cholera Case Fatality Rate
AGO,1991,6.78
BEN,1991,3.47
BFA,1991,11.36
BGD,1991,0
BOL,1991,5.83
BRA,1991,1.57
BTN,1991,4.5
CAN,1991,0
CHL,1991,4.88
CHN,1991,0
CIV,1991,19.21
CMR,1991,12.2
COD,1991,7.23
COL,1991,1.73
ECU,1991,1.5
ESP,1991,0
FRA,1991,0
GBR,1991,0
GHA,1991,3.11
GTM,1991,1.36
HND,1991,0
IDN,1991,0.89
IND,1991,2.13
IRN,1991,1.69
IRQ,1991,0.68
JPN,1991,1.11
KHM,1991,12.6
KOR,1991,3.54
LBR,1991,30.3
LKA,1991,2.86
MEX,1991,1.26
MMR,1991,4.22
MOZ,1991,4.18
MWI,1991,3.03
MYS,1991,1.19
NER,1991,11.33
NGA,1991,12.87
NIC,1991,0
NPL,1991,2.85
PAN,1991,2.46
PER,1991,0.9
ROU,1991,3.98
RUS,1991,0
RWA,1991,5.15
SGP,1991,5.88
SLV,1991,3.59
STP,1991,33.33
TCD,1991,9.66
TGO,1991,3.38
TZA,1991,10.08
UGA,1991,10.04
UKR,1991,0
USA,1991,0
VEN,1991,13.33
VNM,1991,1.92
ZAF,1991,0
ZMB,1991,8.29
