Country,Year,Reported Cholera Deaths
AFG,2008,22
AGO,2008,243
BDI,2008,4
BEN,2008,5
BFA,2008,0
BWA,2008,1
CAN,2008,0
CHN,2008,0
CIV,2008,1
CMR,2008,0
COD,2008,548
COG,2008,4
COM,2008,0
DNK,2008,0
ERI,2008,0
ESP,2008,0
ETH,2008,23
FIN,2008,0
FRA,2008,0
GAB,2008,0
GBR,2008,0
GHA,2008,25
GIN,2008,32
GMB,2008,0
GNB,2008,225
IDN,2008,27
IND,2008,1
IRN,2008,4
IRQ,2008,11
KAZ,2008,0
KEN,2008,113
LAO,2008,0
LBR,2008,3
MEX,2008,0
MLI,2008,5
MMR,2008,1
MOZ,2008,102
MWI,2008,26
NAM,2008,38
NER,2008,70
NGA,2008,247
NLD,2008,0
RWA,2008,0
SDN,2008,118
SEN,2008,20
SLE,2008,1
SOM,2008,16
STP,2008,4
SWZ,2008,0
SYC,2008,0
TGO,2008,3
THA,2008,3
TZA,2008,88
UGA,2008,120
USA,2008,0
VNM,2008,0
ZAF,2008,22
ZMB,2008,39
ZWE,2008,2928
