Id,SpatialDimType,SpatialDim,ParentLocationCode,ParentLocation,Dim1Type,YEAR,Dim1,Value,NumericValue,Low,High
9556559,COUNTRY,CUB,AMR,Americas,SEX,1995,Male,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
9579992,COUNTRY,STP,AFR,Africa,SEX,1995,Male,No data,,,
9610696,COUNTRY,ARM,EUR,Europe,SEX,1995,Male,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
9613890,COUNTRY,EST,EUR,Europe,SEX,1995,Male,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
9707850,COUNTRY,DEU,EUR,Europe,SEX,1995,Male,No data,,,
9713085,COUNTRY,FJI,WPR,Western Pacific,SEX,1995,Male,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
9722629,COUNTRY,SUR,AMR,Americas,SEX,1995,Male,1.1 [0.89 - 1.3],1.1,0.89,1.3
9733707,COUNTRY,AUT,EUR,Europe,SEX,1995,Male,No data,,,
9736479,COUNTRY,MAR,EMR,Eastern Mediterranean,SEX,1995,Male,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
9749434,COUNTRY,RUS,EUR,Europe,SEX,1995,Male,No data,,,
9770660,COUNTRY,JPN,WPR,Western Pacific,SEX,1995,Male,No data,,,
9817532,COUNTRY,UZB,EUR,Europe,SEX,1995,Male,No data,,,
9863484,COUNTRY,NPL,SEAR,South-East Asia,SEX,1995,Male,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
9899087,COUNTRY,NGA,AFR,Africa,SEX,1995,Male,1.6 [1.4 - 2],1.6,1.4,2.0
9915619,COUNTRY,SEN,AFR,Africa,SEX,1995,Male,0.52 [0.47 - 0.58],0.52,0.47,0.58
9982593,COUNTRY,BGR,EUR,Europe,SEX,1995,Male,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
10116140,COUNTRY,DZA,AFR,Africa,SEX,1995,Male,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
10119966,COUNTRY,FIN,EUR,Europe,SEX,1995,Male,No data,,,
3742895,COUNTRY,SGP,WPR,Western Pacific,SEX,1995,Male,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
3748727,COUNTRY,MYS,WPR,Western Pacific,SEX,1995,Male,0.41 [0.35 - 0.47],0.41,0.35,0.47
3755788,COUNTRY,IND,SEAR,South-East Asia,SEX,1995,Male,No data,,,
4017831,COUNTRY,MDG,AFR,Africa,SEX,1995,Male,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
4028387,COUNTRY,BEN,AFR,Africa,SEX,1995,Male,1.2 [1 - 1.5],1.2,1.0,1.5
4055889,COUNTRY,LSO,AFR,Africa,SEX,1995,Male,19.4 [16.2 - 23.6],19.4,16.2,23.6
4137465,COUNTRY,CHL,AMR,Americas,SEX,1995,Male,0.21 [0.17 - 0.23],0.21,0.17,0.23
4180831,COUNTRY,ARE,EMR,Eastern Mediterranean,SEX,1995,Male,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
4293711,COUNTRY,SWE,EUR,Europe,SEX,1995,Male,No data,,,
4337631,COUNTRY,ZAF,AFR,Africa,SEX,1995,Male,9.9 [8.8 - 11.5],9.9,8.8,11.5
4427176,COUNTRY,YEM,EMR,Eastern Mediterranean,SEX,1995,Male,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
4433311,REGION,AMR,,,SEX,1995,Male,0.32 [0.25 - 0.42],0.32,0.25,0.42
4435409,COUNTRY,CHE,EUR,Europe,SEX,1995,Male,0.18 [0.14 - 0.2],0.18,0.14,0.2
4526886,COUNTRY,TJK,EUR,Europe,SEX,1995,Male,<0.1 [<0.01 - <0.1],0.1,0.01,0.1
4536901,COUNTRY,MUS,AFR,Africa,SEX,1995,Male,No data,,,
4554567,COUNTRY,ITA,EUR,Europe,SEX,1995,Male,0.12 [<0.1 - 0.14],0.12,0.1,0.14
4628017,COUNTRY,SLV,AMR,Americas,SEX,1995,Male,0.5 [0.44 - 0.56],0.5,0.44,0.56
4655092,COUNTRY,SSD,AFR,Africa,SEX,1995,Male,1.8 [1.1 - 2.6],1.8,1.1,2.6
4699467,COUNTRY,AGO,AFR,Africa,SEX,1995,Male,0.79 [0.59 - 1],0.79,0.59,1.0
43138,COUNTRY,BEL,EUR,Europe,SEX,1995,Male,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
551360,COUNTRY,LCA,AMR,Americas,SEX,1995,Male,0.16 [0.12 - 0.19],0.16,0.12,0.19
622635,COUNTRY,PNG,WPR,Western Pacific,SEX,1995,Male,0.47 [0.37 - 0.63],0.47,0.37,0.63
668831,COUNTRY,ARG,AMR,Americas,SEX,1995,Male,0.22 [0.18 - 0.24],0.22,0.18,0.24
730658,COUNTRY,CHN,WPR,Western Pacific,SEX,1995,Male,No data,,,
924362,COUNTRY,KIR,WPR,Western Pacific,SEX,1995,Male,No data,,,
934742,COUNTRY,MCO,EUR,Europe,SEX,1995,Male,No data,,,
949934,COUNTRY,MRT,AFR,Africa,SEX,1995,Male,0.52 [0.4 - 0.68],0.52,0.4,0.68
1266962,COUNTRY,QAT,EMR,Eastern Mediterranean,SEX,1995,Male,<0.01 [<0.01 - <0.1],0.01,0.01,0.1
1379155,COUNTRY,PHL,WPR,Western Pacific,SEX,1995,Male,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
1423560,COUNTRY,BRA,AMR,Americas,SEX,1995,Male,No data,,,
1445981,COUNTRY,GRD,AMR,Americas,SEX,1995,Male,No data,,,
1479262,COUNTRY,MOZ,AFR,Africa,SEX,1995,Male,5.6 [4.9 - 6.7],5.6,4.9,6.7
1487857,REGION,AFR,,,SEX,1995,Male,3.5 [2.6 - 4.7],3.5,2.6,4.7
1558541,COUNTRY,ETH,AFR,Africa,SEX,1995,Male,1.9 [1 - 4.1],1.9,1.0,4.1
1567818,COUNTRY,BOL,AMR,Americas,SEX,1995,Male,0.36 [0.23 - 0.77],0.36,0.23,0.77
1591987,COUNTRY,BIH,EUR,Europe,SEX,1995,Male,No data,,,
1610251,COUNTRY,HUN,EUR,Europe,SEX,1995,Male,No data,,,
1668706,COUNTRY,ATG,AMR,Americas,SEX,1995,Male,No data,,,
1898881,COUNTRY,DMA,AMR,Americas,SEX,1995,Male,No data,,,
1900484,COUNTRY,VEN,AMR,Americas,SEX,1995,Male,0.26 [0.22 - 0.3],0.26,0.22,0.3
1901307,COUNTRY,ROU,EUR,Europe,SEX,1995,Male,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
2049784,COUNTRY,DOM,AMR,Americas,SEX,1995,Male,1.4 [1 - 1.8],1.4,1.0,1.8
2076303,COUNTRY,PER,AMR,Americas,SEX,1995,Male,0.44 [0.33 - 0.57],0.44,0.33,0.57
2087815,COUNTRY,GNQ,AFR,Africa,SEX,1995,Male,No data,,,
2114934,COUNTRY,MKD,EUR,Europe,SEX,1995,Male,<0.01 [<0.01 - <0.1],0.01,0.01,0.1
2134894,COUNTRY,PRT,EUR,Europe,SEX,1995,Male,0.44 [0.35 - 0.51],0.44,0.35,0.51
2198270,COUNTRY,LKA,SEAR,South-East Asia,SEX,1995,Male,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
2231521,COUNTRY,GNB,AFR,Africa,SEX,1995,Male,1.9 [1.3 - 2.4],1.9,1.3,2.4
2244370,REGION,SEAR,,,SEX,1995,Male,0.63 [0.45 - 0.95],0.63,0.45,0.95
2248709,COUNTRY,DNK,EUR,Europe,SEX,1995,Male,<0.1 [<0.1 - 0.1],0.1,0.1,0.1
2340273,COUNTRY,CPV,AFR,Africa,SEX,1995,Male,0.51 [0.4 - 0.67],0.51,0.4,0.67
2432146,COUNTRY,COG,AFR,Africa,SEX,1995,Male,2.4 [2.1 - 3],2.4,2.1,3.0
2494033,COUNTRY,LTU,EUR,Europe,SEX,1995,Male,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
2568517,COUNTRY,COL,AMR,Americas,SEX,1995,Male,0.58 [0.43 - 0.83],0.58,0.43,0.83
2570702,COUNTRY,NIU,WPR,Western Pacific,SEX,1995,Male,No data,,,
2620843,COUNTRY,ISL,EUR,Europe,SEX,1995,Male,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
2658070,REGION,EUR,,,SEX,1995,Male,0.12 [<0.1 - 0.14],0.12,0.1,0.14
2681876,COUNTRY,TCD,AFR,Africa,SEX,1995,Male,1.8 [1.4 - 2.5],1.8,1.4,2.5
2756094,COUNTRY,BRN,WPR,Western Pacific,SEX,1995,Male,No data,,,
2758264,COUNTRY,SYR,EMR,Eastern Mediterranean,SEX,1995,Male,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
2943267,COUNTRY,BDI,AFR,Africa,SEX,1995,Male,1.4 [0.91 - 2.3],1.4,0.91,2.3
2945877,COUNTRY,PRK,SEAR,South-East Asia,SEX,1995,Male,No data,,,
3012228,COUNTRY,GRC,EUR,Europe,SEX,1995,Male,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
3018765,COUNTRY,BLZ,AMR,Americas,SEX,1995,Male,0.86 [0.66 - 1],0.86,0.66,1.0
3027492,COUNTRY,RWA,AFR,Africa,SEX,1995,Male,3.6 [3.2 - 4.1],3.6,3.2,4.1
3131551,COUNTRY,PLW,WPR,Western Pacific,SEX,1995,Male,No data,,,
3157358,COUNTRY,HTI,AMR,Americas,SEX,1995,Male,1.7 [1.4 - 2.1],1.7,1.4,2.1
3176306,COUNTRY,IRL,EUR,Europe,SEX,1995,Male,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
3202179,COUNTRY,KHM,WPR,Western Pacific,SEX,1995,Male,1.4 [1.2 - 1.6],1.4,1.2,1.6
3219066,COUNTRY,VCT,AMR,Americas,SEX,1995,Male,No data,,,
3234169,COUNTRY,FSM,WPR,Western Pacific,SEX,1995,Male,No data,,,
3236130,COUNTRY,COM,AFR,Africa,SEX,1995,Male,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
3346906,COUNTRY,LVA,EUR,Europe,SEX,1995,Male,0.12 [<0.01 - 0.48],0.12,0.01,0.48
3430422,COUNTRY,SVK,EUR,Europe,SEX,1995,Male,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
3464793,COUNTRY,MNG,WPR,Western Pacific,SEX,1995,Male,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
3470100,COUNTRY,IRQ,EMR,Eastern Mediterranean,SEX,1995,Male,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
3596927,COUNTRY,KOR,WPR,Western Pacific,SEX,1995,Male,No data,,,
3611620,COUNTRY,TKM,EUR,Europe,SEX,1995,Male,No data,,,
3699694,COUNTRY,POL,EUR,Europe,SEX,1995,Male,No data,,,
