Id,SpatialDimType,SpatialDim,ParentLocationCode,ParentLocation,Dim1Type,Dim1,YEAR,Value,NumericValue,Low,High
2791601,COUNTRY,SYR,EMR,Eastern Mediterranean,SEX,Both,2003,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
2799564,COUNTRY,AUT,EUR,Europe,SEX,Both,2003,No data,,,
2826642,COUNTRY,LKA,SEAR,South-East Asia,SEX,Both,2003,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
2871355,COUNTRY,MKD,EUR,Europe,SEX,Both,2003,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
2930638,COUNTRY,TJK,EUR,Europe,SEX,Both,2003,0.14 [0.14 - 0.14],0.14,0.14,0.14
3137098,COUNTRY,POL,EUR,Europe,SEX,Both,2003,No data,,,
3164344,COUNTRY,ESP,EUR,Europe,SEX,Both,2003,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
3184125,COUNTRY,ISL,EUR,Europe,SEX,Both,2003,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
3259410,COUNTRY,CUB,AMR,Americas,SEX,Both,2003,0.17 [0.14 - 0.19],0.17,0.14,0.19
3318683,COUNTRY,BRB,AMR,Americas,SEX,Both,2003,0.64 [0.57 - 0.72],0.64,0.57,0.72
3342163,COUNTRY,NER,AFR,Africa,SEX,Both,2003,0.31 [0.27 - 0.36],0.31,0.27,0.36
3579785,COUNTRY,GHA,AFR,Africa,SEX,Both,2003,1.4 [1.2 - 1.7],1.4,1.2,1.7
3594273,COUNTRY,LBY,EMR,Eastern Mediterranean,SEX,Both,2003,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
3640249,COUNTRY,GTM,AMR,Americas,SEX,Both,2003,0.16 [0.11 - 0.21],0.16,0.11,0.21
3660583,COUNTRY,TLS,SEAR,South-East Asia,SEX,Both,2003,<0.1 [<0.1 - 0.12],0.1,0.1,0.12
3686067,COUNTRY,DJI,EMR,Eastern Mediterranean,SEX,Both,2003,1.8 [1.1 - 2.6],1.8,1.1,2.6
3709626,COUNTRY,GUY,AMR,Americas,SEX,Both,2003,0.86 [0.62 - 1.3],0.86,0.62,1.3
3766768,COUNTRY,SDN,EMR,Eastern Mediterranean,SEX,Both,2003,<0.1 [<0.1 - 0.11],0.1,0.1,0.11
3774731,COUNTRY,SLE,AFR,Africa,SEX,Both,2003,1.2 [1.1 - 1.4],1.2,1.1,1.4
3793101,COUNTRY,PLW,WPR,Western Pacific,SEX,Both,2003,No data,,,
3799252,COUNTRY,DNK,EUR,Europe,SEX,Both,2003,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
3818505,COUNTRY,BOL,AMR,Americas,SEX,Both,2003,0.22 [0.17 - 0.28],0.22,0.17,0.28
3874392,COUNTRY,WSM,WPR,Western Pacific,SEX,Both,2003,No data,,,
3938664,COUNTRY,IND,SEAR,South-East Asia,SEX,Both,2003,No data,,,
4020059,COUNTRY,MDA,EUR,Europe,SEX,Both,2003,0.61 [0.43 - 0.83],0.61,0.43,0.83
4048371,COUNTRY,SEN,AFR,Africa,SEX,Both,2003,0.42 [0.4 - 0.46],0.42,0.4,0.46
4054246,COUNTRY,MUS,AFR,Africa,SEX,Both,2003,No data,,,
4194557,COUNTRY,NAM,AFR,Africa,SEX,Both,2003,9.8 [9.1 - 11],9.8,9.1,11.0
4249804,COUNTRY,SWE,EUR,Europe,SEX,Both,2003,No data,,,
4300643,COUNTRY,SVN,EUR,Europe,SEX,Both,2003,<0.01 [<0.01 - <0.1],0.01,0.01,0.1
4318172,COUNTRY,BWA,AFR,Africa,SEX,Both,2003,13.8 [12.4 - 15.5],13.8,12.4,15.5
4332225,COUNTRY,MMR,SEAR,South-East Asia,SEX,Both,2003,0.53 [0.47 - 0.59],0.53,0.47,0.59
4381163,COUNTRY,SLB,WPR,Western Pacific,SEX,Both,2003,<0.01 [<0.01 - <0.1],0.01,0.01,0.1
4392622,COUNTRY,ATG,AMR,Americas,SEX,Both,2003,No data,,,
4558694,COUNTRY,GBR,EUR,Europe,SEX,Both,2003,No data,,,
4603580,COUNTRY,SLV,AMR,Americas,SEX,Both,2003,0.36 [0.33 - 0.4],0.36,0.33,0.4
4619841,COUNTRY,FRA,EUR,Europe,SEX,Both,2003,<0.1 [<0.1 - 0.1],0.1,0.1,0.1
4663219,COUNTRY,COG,AFR,Africa,SEX,Both,2003,2.3 [2 - 2.6],2.3,2.0,2.6
4721403,COUNTRY,AND,EUR,Europe,SEX,Both,2003,No data,,,
4721727,COUNTRY,LVA,EUR,Europe,SEX,Both,2003,0.25 [0.22 - 0.3],0.25,0.22,0.3
4793685,COUNTRY,SVK,EUR,Europe,SEX,Both,2003,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
4865917,COUNTRY,GNB,AFR,Africa,SEX,Both,2003,3.2 [2.7 - 3.9],3.2,2.7,3.9
4898168,COUNTRY,KGZ,EUR,Europe,SEX,Both,2003,<0.1 [<0.01 - <0.1],0.1,0.01,0.1
4990370,COUNTRY,LBR,AFR,Africa,SEX,Both,2003,No data,,,
5017129,COUNTRY,GRD,AMR,Americas,SEX,Both,2003,No data,,,
5116205,COUNTRY,VUT,WPR,Western Pacific,SEX,Both,2003,<0.1 [<0.01 - <0.1],0.1,0.01,0.1
5198242,COUNTRY,BGD,SEAR,South-East Asia,SEX,Both,2003,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
5222598,COUNTRY,MDG,AFR,Africa,SEX,Both,2003,0.11 [<0.1 - 0.17],0.11,0.1,0.17
5235032,COUNTRY,ZAF,AFR,Africa,SEX,Both,2003,11.7 [10.6 - 13],11.7,10.6,13.0
5273520,COUNTRY,DEU,EUR,Europe,SEX,Both,2003,No data,,,
5279043,COUNTRY,FJI,WPR,Western Pacific,SEX,Both,2003,<0.01 [<0.01 - <0.1],0.01,0.01,0.1
5314693,COUNTRY,CHN,WPR,Western Pacific,SEX,Both,2003,No data,,,
5314770,COUNTRY,COM,AFR,Africa,SEX,Both,2003,<0.1 [<0.01 - <0.1],0.1,0.01,0.1
5327495,COUNTRY,BEL,EUR,Europe,SEX,Both,2003,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
5349997,COUNTRY,MLT,EUR,Europe,SEX,Both,2003,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
5422416,COUNTRY,BHR,EMR,Eastern Mediterranean,SEX,Both,2003,<0.1 [<0.01 - <0.1],0.1,0.01,0.1
5542050,REGION,WPR,,,SEX,Both,2003,<0.1 [<0.1 - 0.11],0.1,0.1,0.11
5553439,COUNTRY,NOR,EUR,Europe,SEX,Both,2003,No data,,,
