Id,SpatialDimType,SpatialDim,ParentLocationCode,ParentLocation,YEAR,Value,NumericValue
7903786,COUNTRY,TTO,AMR,Americas,2019,No data,
7933351,COUNTRY,KGZ,EUR,Europe,2019,9400 [8700 - 10000],9400.0
7981783,COUNTRY,MDV,SEAR,South-East Asia,2019,No data,
7997671,COUNTRY,BIH,EUR,Europe,2019,<500 [<500 - 580],500.0
8023130,COUNTRY,URY,AMR,Americas,2019,14 000 [11 000 - 19 000],14000.0
8087148,COUNTRY,AND,EUR,Europe,2019,No data,
8103536,COUNTRY,JAM,AMR,Americas,2019,26 000 [24 000 - 28 000],26000.0
8108786,COUNTRY,JOR,EMR,Eastern Mediterranean,2019,530 [<500 - 590],530.0
8144353,COUNTRY,SAU,EMR,Eastern Mediterranean,2019,7700 [7100 - 8600],7700.0
8192475,COUNTRY,QAT,EMR,Eastern Mediterranean,2019,520 [<500 - 610],520.0
8198916,COUNTRY,FJI,WPR,Western Pacific,2019,1700 [1200 - 3000],1700.0
8277078,COUNTRY,SYR,EMR,Eastern Mediterranean,2019,530 [<500 - 590],530.0
8290637,COUNTRY,NZL,WPR,Western Pacific,2019,3500 [3000 - 3900],3500.0
8350544,COUNTRY,COK,WPR,Western Pacific,2019,No data,
8357306,COUNTRY,BGR,EUR,Europe,2019,3100 [2600 - 3500],3100.0
8483025,COUNTRY,KIR,WPR,Western Pacific,2019,No data,
8499426,COUNTRY,SLB,WPR,Western Pacific,2019,No data,
8517855,COUNTRY,BDI,AFR,Africa,2019,83 000 [74 000 - 95 000],83000.0
8602645,COUNTRY,DMA,AMR,Americas,2019,No data,
8677746,COUNTRY,NLD,EUR,Europe,2019,24 000 [21 000 - 27 000],24000.0
8769577,COUNTRY,ROU,EUR,Europe,2019,16 000 [15 000 - 18 000],16000.0
8806226,COUNTRY,FIN,EUR,Europe,2019,No data,
8856508,COUNTRY,VUT,WPR,Western Pacific,2019,No data,
8923074,COUNTRY,SEN,AFR,Africa,2019,40 000 [36 000 - 45 000],40000.0
8950506,COUNTRY,LBY,EMR,Eastern Mediterranean,2019,6000 [5600 - 6400],6000.0
8969473,COUNTRY,ITA,EUR,Europe,2019,140 000 [120 000 - 160 000],140000.0
8986397,COUNTRY,PER,AMR,Americas,2019,92 000 [81 000 - 110 000],92000.0
9078426,COUNTRY,LUX,EUR,Europe,2019,1300 [1100 - 1400],1300.0
9089823,COUNTRY,NAM,AFR,Africa,2019,230 000 [210 000 - 260 000],230000.0
9104194,COUNTRY,SGP,WPR,Western Pacific,2019,7400 [5800 - 8400],7400.0
9111185,COUNTRY,BLZ,AMR,Americas,2019,3600 [3200 - 3900],3600.0
9194353,COUNTRY,ARE,EMR,Eastern Mediterranean,2019,1200 [930 - 1500],1200.0
9204409,COUNTRY,PRY,AMR,Americas,2019,19 000 [16 000 - 22 000],19000.0
9215895,COUNTRY,RUS,EUR,Europe,2019,No data,
9235967,COUNTRY,LAO,WPR,Western Pacific,2019,16 000 [15 000 - 18 000],16000.0
9304249,COUNTRY,IND,SEAR,South-East Asia,2019,No data,
9344974,COUNTRY,MNE,EUR,Europe,2019,<500 [<500 - <500],500.0
9408349,COUNTRY,RWA,AFR,Africa,2019,240 000 [220 000 - 260 000],240000.0
9500881,COUNTRY,SDN,EMR,Eastern Mediterranean,2019,38 000 [29 000 - 54 000],38000.0
9543142,COUNTRY,PNG,WPR,Western Pacific,2019,58 000 [54 000 - 65 000],58000.0
9592986,COUNTRY,MKD,EUR,Europe,2019,510 [<500 - 590],510.0
9609572,COUNTRY,ALB,EUR,Europe,2019,1300 [1100 - 1500],1300.0
9639958,COUNTRY,LTU,EUR,Europe,2019,3300 [2900 - 3600],3300.0
