Id,SpatialDimType,SpatialDim,ParentLocationCode,ParentLocation,YEAR,Value,NumericValue
925095,GLOBAL,GLOBAL,,,1994,18 400 000 [16 700 000 - 20 600 000],18400000.0
1958875,REGION,WPR,,,1994,300 000 [280 000 - 320 000],300000.0
3527570,REGION,EUR,,,1994,500 000 [450 000 - 550 000],500000.0
4460534,REGION,AFR,,,1994,12 900 000 [11 500 000 - 14 100 000],12900000.0
5024869,REGION,AMR,,,1994,1 400 000 [1 200 000 - 1 500 000],1400000.0
7759754,REGION,EMR,,,1994,52 000 [44 000 - 69 000],52000.0
8508224,REGION,SEAR,,,1994,3 300 000 [2 900 000 - 3 900 000],3300000.0
