Id,SpatialDimType,SpatialDim,ParentLocationCode,ParentLocation,Dim1Type,Dim1,YEAR,Value,NumericValue,Low,High
4415834,COUNTRY,MLT,EUR,Europe,SEX,Male,2020,0.15 [0.12 - 0.19],0.15,0.12,0.19
4431384,COUNTRY,RWA,AFR,Africa,SEX,Male,2020,0.19 [0.13 - 0.3],0.19,0.13,0.3
4505537,COUNTRY,PLW,WPR,Western Pacific,SEX,Male,2020,No data,,,
4518927,COUNTRY,NGA,AFR,Africa,SEX,Male,2020,0.38 [0.32 - 0.47],0.38,0.32,0.47
4619491,COUNTRY,PRK,SEAR,South-East Asia,SEX,Male,2020,No data,,,
4697360,COUNTRY,PRT,EUR,Europe,SEX,Male,2020,0.11 [<0.1 - 0.14],0.11,0.1,0.14
4747922,COUNTRY,SVN,EUR,Europe,SEX,Male,2020,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
4806921,COUNTRY,FSM,WPR,Western Pacific,SEX,Male,2020,No data,,,
4807437,COUNTRY,KAZ,EUR,Europe,SEX,Male,2020,0.17 [0.12 - 0.23],0.17,0.12,0.23
4816390,COUNTRY,LKA,SEAR,South-East Asia,SEX,Male,2020,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
4974175,GLOBAL,GLOBAL,,,SEX,Male,2020,0.2 [0.16 - 0.26],0.2,0.16,0.26
5037216,COUNTRY,PHL,WPR,Western Pacific,SEX,Male,2020,0.3 [0.25 - 0.35],0.3,0.25,0.35
5126803,COUNTRY,IRL,EUR,Europe,SEX,Male,2020,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
5206954,COUNTRY,DJI,EMR,Eastern Mediterranean,SEX,Male,2020,0.33 [0.19 - 0.58],0.33,0.19,0.58
5280750,COUNTRY,TUN,EMR,Eastern Mediterranean,SEX,Male,2020,<0.1 [<0.1 - 0.13],0.1,0.1,0.13
5297512,COUNTRY,CUB,AMR,Americas,SEX,Male,2020,0.31 [0.22 - 0.38],0.31,0.22,0.38
5301398,COUNTRY,MNG,WPR,Western Pacific,SEX,Male,2020,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
5420180,COUNTRY,CIV,AFR,Africa,SEX,Male,2020,0.33 [0.22 - 0.51],0.33,0.22,0.51
5522439,COUNTRY,SVK,EUR,Europe,SEX,Male,2020,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
5635522,COUNTRY,AGO,AFR,Africa,SEX,Male,2020,0.44 [0.33 - 0.58],0.44,0.33,0.58
5689034,COUNTRY,MMR,SEAR,South-East Asia,SEX,Male,2020,0.24 [0.21 - 0.26],0.24,0.21,0.26
5798809,COUNTRY,USA,AMR,Americas,SEX,Male,2020,No data,,,
5838853,COUNTRY,COG,AFR,Africa,SEX,Male,2020,1.3 [0.86 - 2],1.3,0.86,2.0
5844151,COUNTRY,ROU,EUR,Europe,SEX,Male,2020,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
5866577,COUNTRY,AZE,EUR,Europe,SEX,Male,2020,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
5871054,COUNTRY,SUR,AMR,Americas,SEX,Male,2020,0.85 [0.62 - 1.1],0.85,0.62,1.1
5911885,COUNTRY,UGA,AFR,Africa,SEX,Male,2020,0.84 [0.68 - 1.1],0.84,0.68,1.1
5948889,REGION,AMR,,,SEX,Male,2020,0.25 [0.2 - 0.31],0.25,0.2,0.31
6001674,COUNTRY,LAO,WPR,Western Pacific,SEX,Male,2020,0.23 [0.21 - 0.26],0.23,0.21,0.26
6165595,COUNTRY,BLR,EUR,Europe,SEX,Male,2020,0.17 [<0.1 - 0.37],0.17,0.1,0.37
6211031,COUNTRY,TJK,EUR,Europe,SEX,Male,2020,<0.1 [<0.1 - 0.12],0.1,0.1,0.12
6242081,COUNTRY,PRY,AMR,Americas,SEX,Male,2020,0.27 [0.19 - 0.39],0.27,0.19,0.39
6269680,COUNTRY,ESP,EUR,Europe,SEX,Male,2020,0.12 [<0.1 - 0.15],0.12,0.1,0.15
6309733,COUNTRY,NLD,EUR,Europe,SEX,Male,2020,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
6324058,COUNTRY,COK,WPR,Western Pacific,SEX,Male,2020,No data,,,
6401331,COUNTRY,CMR,AFR,Africa,SEX,Male,2020,No data,,,
6421396,COUNTRY,KGZ,EUR,Europe,SEX,Male,2020,0.14 [0.12 - 0.15],0.14,0.12,0.15
6490321,COUNTRY,SWZ,AFR,Africa,SEX,Male,2020,3.9 [3.3 - 5.1],3.9,3.3,5.1
6510451,COUNTRY,BIH,EUR,Europe,SEX,Male,2020,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
6716898,COUNTRY,TUV,WPR,Western Pacific,SEX,Male,2020,No data,,,
6759174,COUNTRY,ISL,EUR,Europe,SEX,Male,2020,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
6773978,COUNTRY,TKM,EUR,Europe,SEX,Male,2020,No data,,,
6780350,COUNTRY,RUS,EUR,Europe,SEX,Male,2020,No data,,,
6819765,COUNTRY,KHM,WPR,Western Pacific,SEX,Male,2020,0.13 [0.12 - 0.14],0.13,0.12,0.14
6849680,COUNTRY,WSM,WPR,Western Pacific,SEX,Male,2020,No data,,,
6850088,COUNTRY,SAU,EMR,Eastern Mediterranean,SEX,Male,2020,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
6919906,COUNTRY,BGD,SEAR,South-East Asia,SEX,Male,2020,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
6932198,COUNTRY,CZE,EUR,Europe,SEX,Male,2020,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
6941492,COUNTRY,DMA,AMR,Americas,SEX,Male,2020,No data,,,
