Id,SpatialDimType,SpatialDim,ParentLocationCode,ParentLocation,YEAR,Value,NumericValue
2379,COUNTRY,UZB,EUR,Europe,2000,No data,
16521,COUNTRY,BRA,AMR,Americas,2000,350 000 [330 000 - 370 000],350000.0
185978,COUNTRY,CAF,AFR,Africa,2000,No data,
229249,COUNTRY,KWT,EMR,Eastern Mediterranean,2000,<200 [<100 - <200],200.0
236206,COUNTRY,IRQ,EMR,Eastern Mediterranean,2000,<500 [<200 - <500],500.0
325495,REGION,AFR,,,2000,18 700 000 [16 800 000 - 20 500 000],18700000.0
379419,COUNTRY,ERI,AFR,Africa,2000,27 000 [19 000 - 37 000],27000.0
524942,COUNTRY,AND,EUR,Europe,2000,No data,
528281,COUNTRY,LSO,AFR,Africa,2000,220 000 [200 000 - 240 000],220000.0
606593,COUNTRY,BHR,EMR,Eastern Mediterranean,2000,No data,
695195,COUNTRY,SRB,EUR,Europe,2000,1000 [820 - 1200],1000.0
737728,COUNTRY,SYR,EMR,Eastern Mediterranean,2000,<200 [<200 - <200],200.0
875589,COUNTRY,TUV,WPR,Western Pacific,2000,No data,
927602,COUNTRY,KAZ,EUR,Europe,2000,3600 [2800 - 4400],3600.0
963637,COUNTRY,BEL,EUR,Europe,2000,No data,
982451,COUNTRY,MNG,WPR,Western Pacific,2000,<100 [<100 - <100],100.0
1047395,COUNTRY,IND,SEAR,South-East Asia,2000,No data,
1061934,COUNTRY,SLE,AFR,Africa,2000,41 000 [32 000 - 53 000],41000.0
1074597,COUNTRY,NIU,WPR,Western Pacific,2000,No data,
1084468,COUNTRY,KOR,WPR,Western Pacific,2000,No data,
1099138,COUNTRY,UGA,AFR,Africa,2000,1 000 000 [950 000 - 1 100 000],1000000.0
1116875,COUNTRY,CAN,AMR,Americas,2000,37 000 [31 000 - 42 000],37000.0
1292663,COUNTRY,SWE,EUR,Europe,2000,No data,
1319039,COUNTRY,SUR,AMR,Americas,2000,3200 [2700 - 3900],3200.0
1427598,COUNTRY,MDA,EUR,Europe,2000,8800 [7300 - 11 000],8800.0
