Id,SpatialDimType,SpatialDim,ParentLocationCode,ParentLocation,YEAR,Value,NumericValue
1363,COUNTRY,PHL,WPR,Western Pacific,1979,1268,
440810,COUNTRY,LBR,AFR,Africa,1979,438,
766258,COUNTRY,SEN,AFR,Africa,1979,103,
881176,COUNTRY,JPN,WPR,Western Pacific,1979,11,
913981,COUNTRY,CIV,AFR,Africa,1979,3,
940724,COUNTRY,CHN,WPR,Western Pacific,1979,85,
1106782,COUNTRY,SYR,EMR,Eastern Mediterranean,1979,689,
1108318,COUNTRY,THA,SEAR,South-East Asia,1979,1788,
1143984,COUNTRY,BDI,AFR,Africa,1979,915,
1353959,COUNTRY,AUS,WPR,Western Pacific,1979,1,
1801914,COUNTRY,MYS,WPR,Western Pacific,1979,502,
2139971,COUNTRY,NPL,SEAR,South-East Asia,1979,22,
2895405,COUNTRY,JOR,EMR,Eastern Mediterranean,1979,141,
3061751,COUNTRY,TZA,AFR,Africa,1979,2559,
3167073,COUNTRY,FRA,EUR,Europe,1979,8,
3252315,COUNTRY,BGD,SEAR,South-East Asia,1979,2154,
3373446,COUNTRY,IRN,EMR,Eastern Mediterranean,1979,1856,
3474000,COUNTRY,RWA,AFR,Africa,1979,5,
3837455,COUNTRY,BHR,EMR,Eastern Mediterranean,1979,39,
4772387,COUNTRY,ITA,EUR,Europe,1979,8,
4918380,COUNTRY,MOZ,AFR,Africa,1979,4564,
5201830,COUNTRY,ESP,EUR,Europe,1979,267,
5237794,COUNTRY,GAB,AFR,Africa,1979,5,
5298199,COUNTRY,SDN,EMR,Eastern Mediterranean,1979,845,
5822009,COUNTRY,SWE,EUR,Europe,1979,1,
5917743,COUNTRY,GHA,AFR,Africa,1979,1783,
6948522,COUNTRY,NRU,WPR,Western Pacific,1979,50,
7146245,COUNTRY,IND,SEAR,South-East Asia,1979,5073,
7172672,COUNTRY,CMR,AFR,Africa,1979,16,
7602315,COUNTRY,ZAF,AFR,Africa,1979,2,
7796348,COUNTRY,ZMB,AFR,Africa,1979,12,
8077409,COUNTRY,KWT,EMR,Eastern Mediterranean,1979,3,
8321668,COUNTRY,SAU,EMR,Eastern Mediterranean,1979,23,
8335244,COUNTRY,MMR,SEAR,South-East Asia,1979,874,
8636395,COUNTRY,NLD,EUR,Europe,1979,5,
8835386,COUNTRY,SGP,WPR,Western Pacific,1979,10,
9045803,COUNTRY,YEM,EMR,Eastern Mediterranean,1979,1953,
9172881,COUNTRY,VNM,WPR,Western Pacific,1979,365,
9174972,COUNTRY,UGA,AFR,Africa,1979,940,
9352994,COUNTRY,DZA,AFR,Africa,1979,2513,
2075357,COUNTRY,COD,AFR,Africa,1979,5515,
3403105,COUNTRY,LKA,SEAR,South-East Asia,1979,46,
4216668,COUNTRY,COG,AFR,Africa,1979,5,
5288174,COUNTRY,NGA,AFR,Africa,1979,293,
8885540,COUNTRY,KEN,AFR,Africa,1979,1070,
9628399,COUNTRY,IDN,SEAR,South-East Asia,1979,18817,
