Id,SpatialDimType,SpatialDim,ParentLocationCode,ParentLocation,YEAR,Value,NumericValue
2570688,COUNTRY,PAK,EMR,Eastern Mediterranean,1969,717,
2925075,COUNTRY,IND,SEAR,South-East Asia,1969,19280,
3831340,COUNTRY,KOR,WPR,Western Pacific,1969,1538,
4121379,COUNTRY,PHL,WPR,Western Pacific,1969,1541,
4435136,COUNTRY,NPL,SEAR,South-East Asia,1969,226,
5722790,COUNTRY,VNM,WPR,Western Pacific,1969,2573,
6976333,COUNTRY,LAO,WPR,Western Pacific,1969,448,
7033224,COUNTRY,IDN,WPR,Western Pacific,1969,627,
7621452,COUNTRY,THA,SEAR,South-East Asia,1969,961,
8165956,COUNTRY,MYS,WPR,Western Pacific,1969,70,
9488861,COUNTRY,JPN,WPR,Western Pacific,1969,8,
9643276,COUNTRY,BGD,SEAR,South-East Asia,1969,7411,
1565332,COUNTRY,IRN,EMR,Eastern Mediterranean,1969,557,
4089722,COUNTRY,MMR,SEAR,South-East Asia,1969,205,
7467231,COUNTRY,SGP,WPR,Western Pacific,1969,11,
