Id,SpatialDimType,SpatialDim,ParentLocationCode,ParentLocation,YEAR,Value,NumericValue
1214238,COUNTRY,THA,SEAR,South-East Asia,2012,29,29.0
1343479,COUNTRY,ZWE,AFR,Africa,2012,23,23.0
1569654,COUNTRY,COD,AFR,Africa,2012,33661,33661.0
1966841,COUNTRY,MYS,WPR,Western Pacific,2012,282,282.0
2093447,COUNTRY,PHL,WPR,Western Pacific,2012,1864,1864.0
2136931,COUNTRY,NPL,SEAR,South-East Asia,2012,34,34.0
2541254,COUNTRY,SEN,AFR,Africa,2012,1,1.0
2598664,COUNTRY,CHN,WPR,Western Pacific,2012,77,77.0
2602382,COUNTRY,MWI,AFR,Africa,2012,187,187.0
3297973,COUNTRY,SOM,EMR,Eastern Mediterranean,2012,22576,22576.0
3363084,COUNTRY,USA,AMR,Americas,2012,18,18.0
3809992,COUNTRY,AUS,WPR,Western Pacific,2012,5,5.0
3825775,COUNTRY,TZA,AFR,Africa,2012,286,286.0
3826485,COUNTRY,GBR,EUR,Europe,2012,17,17.0
3993724,COUNTRY,MOZ,AFR,Africa,2012,647,647.0
4009596,COUNTRY,BFA,AFR,Africa,2012,143,143.0
4326424,COUNTRY,IRN,EMR,Eastern Mediterranean,2012,53,53.0
4641086,COUNTRY,BHS,AMR,Americas,2012,1,1.0
5242081,COUNTRY,NGA,AFR,Africa,2012,597,597.0
5546705,COUNTRY,MLI,AFR,Africa,2012,219,219.0
5910769,COUNTRY,HTI,AMR,Americas,2012,112076,112076.0
6041914,COUNTRY,CUB,AMR,Americas,2012,417,417.0
6113376,COUNTRY,SGP,WPR,Western Pacific,2012,2,2.0
6683646,COUNTRY,CIV,AFR,Africa,2012,424,424.0
6777616,COUNTRY,CMR,AFR,Africa,2012,363,363.0
6844557,COUNTRY,UGA,AFR,Africa,2012,6326,6326.0
7008672,COUNTRY,GHA,AFR,Africa,2012,9548,9548.0
7188051,COUNTRY,JPN,WPR,Western Pacific,2012,3,3.0
7238317,COUNTRY,BEN,AFR,Africa,2012,625,625.0
7284782,COUNTRY,AFG,EMR,Eastern Mediterranean,2012,12,12.0
7538491,COUNTRY,BDI,AFR,Africa,2012,214,214.0
7591806,COUNTRY,PAK,EMR,Eastern Mediterranean,2012,144,144.0
7672391,COUNTRY,TGO,AFR,Africa,2012,61,61.0
7726304,COUNTRY,RWA,AFR,Africa,2012,9,9.0
8081297,COUNTRY,COG,AFR,Africa,2012,1181,1181.0
8169445,COUNTRY,LBR,AFR,Africa,2012,219,219.0
8826339,COUNTRY,AGO,AFR,Africa,2012,1215,1215.0
9002142,COUNTRY,ZMB,AFR,Africa,2012,198,198.0
9060312,COUNTRY,CAF,AFR,Africa,2012,21,21.0
9326438,COUNTRY,MMR,SEAR,South-East Asia,2012,174,174.0
9561384,COUNTRY,NER,AFR,Africa,2012,5284,5284.0
9736002,COUNTRY,IRQ,EMR,Eastern Mediterranean,2012,4693,4693.0
924875,COUNTRY,GNB,AFR,Africa,2012,3068,3068.0
3259106,COUNTRY,DOM,AMR,Americas,2012,7919,7919.0
4027124,COUNTRY,RUS,EUR,Europe,2012,1,1.0
4769570,COUNTRY,SLE,AFR,Africa,2012,23124,23124.0
7210774,COUNTRY,GIN,AFR,Africa,2012,7350,7350.0
9058671,COUNTRY,MEX,AMR,Americas,2012,2,2.0
