Id,SpatialDimType,SpatialDim,ParentLocationCode,ParentLocation,YEAR,Value,NumericValue
428622,COUNTRY,SGP,WPR,Western Pacific,1983,14,
546586,COUNTRY,MMR,SEAR,South-East Asia,1983,989,
1068755,COUNTRY,MWI,AFR,Africa,1983,487,
3485718,COUNTRY,NLD,EUR,Europe,1983,2,
3512620,COUNTRY,IRN,EMR,Eastern Mediterranean,1983,270,
3534859,COUNTRY,AUS,WPR,Western Pacific,1983,4,
3673010,COUNTRY,NGA,AFR,Africa,1983,178,
3902457,COUNTRY,CMR,AFR,Africa,1983,55,
4160215,COUNTRY,MOZ,AFR,Africa,1983,10745,
4194257,COUNTRY,THA,SEAR,South-East Asia,1983,1497,
4466659,COUNTRY,IND,SEAR,South-East Asia,1983,8542,
4498661,COUNTRY,RWA,AFR,Africa,1983,54,
4883500,COUNTRY,DZA,AFR,Africa,1983,218,
5310597,COUNTRY,BDI,AFR,Africa,1983,512,
5388832,COUNTRY,TZA,AFR,Africa,1983,1816,
6016535,COUNTRY,LBR,AFR,Africa,1983,183,
6414400,COUNTRY,VNM,WPR,Western Pacific,1983,392,
6657826,COUNTRY,FRA,EUR,Europe,1983,3,
6673889,COUNTRY,IDN,WPR,Western Pacific,1983,13832,
6789961,COUNTRY,ESP,EUR,Europe,1983,2,
7274252,COUNTRY,MYS,WPR,Western Pacific,1983,2195,
9088231,COUNTRY,JPN,WPR,Western Pacific,1983,35,
9351800,COUNTRY,KEN,AFR,Africa,1983,1049,
9478006,COUNTRY,ZMB,AFR,Africa,1983,233,
9512043,COUNTRY,COD,AFR,Africa,1983,2977,
9942442,COUNTRY,BEL,EUR,Europe,1983,1,
10163777,COUNTRY,GBR,EUR,Europe,1983,4,
8712284,COUNTRY,LKA,SEAR,South-East Asia,1983,86,
3798934,COUNTRY,BEN,AFR,Africa,1983,1,
4305744,COUNTRY,ZAF,AFR,Africa,1983,4715,
6639838,COUNTRY,GHA,AFR,Africa,1983,14160,
