Id,SpatialDimType,SpatialDim,ParentLocationCode,ParentLocation,YEAR,Value,NumericValue
2276105,COUNTRY,IDN,WPR,Western Pacific,1967,139,139.0
2868742,COUNTRY,PHL,WPR,Western Pacific,1967,52,52.0
4085665,COUNTRY,BGD,SEAR,South-East Asia,1967,369,369.0
4817116,COUNTRY,THA,SEAR,South-East Asia,1967,6,6.0
5288842,COUNTRY,CHN,WPR,Western Pacific,1967,0,0.0
5492502,COUNTRY,MMR,SEAR,South-East Asia,1967,0,0.0
7312654,COUNTRY,VNM,WPR,Western Pacific,1967,71,71.0
9726490,COUNTRY,KHM,WPR,Western Pacific,1967,0,0.0
