Id,SpatialDimType,SpatialDim,ParentLocationCode,ParentLocation,YEAR,Value,NumericValue
41193,COUNTRY,VNM,WPR,Western Pacific,1989,0,0.0
648994,COUNTRY,STP,AFR,Africa,1989,64,64.0
720057,COUNTRY,ME1,,,1989,0,0.0
741381,COUNTRY,CHN,WPR,Western Pacific,1989,59,59.0
940117,COUNTRY,JPN,WPR,Western Pacific,1989,0,0.0
1246927,COUNTRY,MWI,AFR,Africa,1989,16,16.0
1623629,COUNTRY,IND,SEAR,South-East Asia,1989,93,93.0
1632998,COUNTRY,MOZ,AFR,Africa,1989,12,12.0
1723046,COUNTRY,AGO,AFR,Africa,1989,925,925.0
1770715,COUNTRY,RWA,AFR,Africa,1989,0,0.0
2272172,COUNTRY,LBR,AFR,Africa,1989,0,0.0
2285952,COUNTRY,CMR,AFR,Africa,1989,2,2.0
3090283,COUNTRY,CAN,AMR,Americas,1989,0,0.0
3159326,COUNTRY,ZMB,AFR,Africa,1989,44,44.0
3572240,COUNTRY,KEN,AFR,Africa,1989,32,32.0
3844114,COUNTRY,TZA,AFR,Africa,1989,232,232.0
5053808,COUNTRY,KHM,WPR,Western Pacific,1989,2,2.0
5714852,COUNTRY,SGP,WPR,Western Pacific,1989,0,0.0
6259537,COUNTRY,DZA,AFR,Africa,1989,0,0.0
6448343,COUNTRY,NGA,AFR,Africa,1989,61,61.0
6671603,COUNTRY,MYS,WPR,Western Pacific,1989,14,14.0
6774795,COUNTRY,NER,AFR,Africa,1989,22,22.0
7597353,COUNTRY,NOR,EUR,Europe,1989,0,0.0
7725627,COUNTRY,MMR,SEAR,South-East Asia,1989,11,11.0
7971219,COUNTRY,IDN,WPR,Western Pacific,1989,0,0.0
7973644,COUNTRY,KWT,EMR,Eastern Mediterranean,1989,0,0.0
8356356,COUNTRY,BGD,SEAR,South-East Asia,1989,2,2.0
9093926,COUNTRY,DEU,EUR,Europe,1989,0,0.0
1836189,COUNTRY,COD,AFR,Africa,1989,6,6.0
1919648,COUNTRY,IRN,EMR,Eastern Mediterranean,1989,85,85.0
2768893,COUNTRY,MRT,AFR,Africa,1989,27,27.0
5361409,COUNTRY,GBR,EUR,Europe,1989,0,0.0
6459196,COUNTRY,NPL,SEAR,South-East Asia,1989,2,2.0
8761960,COUNTRY,ESP,EUR,Europe,1989,0,0.0
