Id,SpatialDimType,SpatialDim,ParentLocationCode,ParentLocation,YEAR,Value,NumericValue
205603,COUNTRY,BHR,EMR,Eastern Mediterranean,1965,0,0.0
2305621,COUNTRY,MYS,WPR,Western Pacific,1965,1,1.0
3795234,COUNTRY,VNM,WPR,Western Pacific,1965,29,29.0
3877997,COUNTRY,MMR,SEAR,South-East Asia,1965,8,8.0
5147368,COUNTRY,NPL,SEAR,South-East Asia,1965,97,97.0
5715290,COUNTRY,PHL,WPR,Western Pacific,1965,448,448.0
7829001,COUNTRY,BRN,WPR,Western Pacific,1965,6,6.0
7833546,COUNTRY,BGD,SEAR,South-East Asia,1965,683,683.0
9320580,COUNTRY,PAK,EMR,Eastern Mediterranean,1965,1,1.0
1203326,COUNTRY,THA,SEAR,South-East Asia,1965,4,4.0
3681314,COUNTRY,AFG,EMR,Eastern Mediterranean,1965,55,55.0
6414363,COUNTRY,IND,SEAR,South-East Asia,1965,12664,12664.0
