Id,SpatialDimType,SpatialDim,ParentLocationCode,ParentLocation,YEAR,Value,NumericValue
8511239,COUNTRY,PRT,EUR,Europe,2012,6.6,6.6
8642118,COUNTRY,GIN,AFR,Africa,2012,44,44.0
8675952,COUNTRY,CYP,EUR,Europe,2012,0.2,0.2
8720080,COUNTRY,ROU,EUR,Europe,2012,0.9,0.9
8760089,COUNTRY,CHL,AMR,Americas,2012,2.4,2.4
8881928,COUNTRY,UKR,EUR,Europe,2012,46,46.0
9036096,COUNTRY,LSO,AFR,Africa,2012,755,755.0
9048116,COUNTRY,SEN,AFR,Africa,2012,14,14.0
9064424,COUNTRY,MKD,EUR,Europe,2012,0,0.0
9232285,COUNTRY,PER,AMR,Americas,2012,14,14.0
9366111,COUNTRY,URY,AMR,Americas,2012,6.3,6.3
9413561,COUNTRY,JAM,AMR,Americas,2012,46,46.0
9506469,COUNTRY,NZL,WPR,Western Pacific,2012,0.1,0.1
9516314,COUNTRY,GMB,AFR,Africa,2012,<56,
9597960,COUNTRY,STP,AFR,Africa,2012,<53,
9633443,COUNTRY,GTM,AMR,Americas,2012,23,23.0
9673021,COUNTRY,BTN,SEAR,South-East Asia,2012,<13,
9686711,COUNTRY,NAM,AFR,Africa,2012,219,219.0
