Id,SpatialDimType,SpatialDim,ParentLocationCode,ParentLocation,Dim1Type,Dim1,YEAR,Value,NumericValue,Low,High
4730891,COUNTRY,KWT,EMR,Eastern Mediterranean,SEX,Male,1992,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
4739102,REGION,EUR,,,SEX,Male,1992,0.11 [<0.1 - 0.13],0.11,0.1,0.13
4803776,COUNTRY,THA,SEAR,South-East Asia,SEX,Male,1992,4.1 [3.5 - 4.6],4.1,3.5,4.6
4830498,COUNTRY,STP,AFR,Africa,SEX,Male,1992,3.4 [2.3 - 4.9],3.4,2.3,4.9
4870724,COUNTRY,HND,AMR,Americas,SEX,Male,1992,0.78 [0.62 - 0.99],0.78,0.62,0.99
5003451,COUNTRY,IRN,EMR,Eastern Mediterranean,SEX,Male,1992,<0.01 [<0.01 - <0.1],0.01,0.01,0.1
5056201,REGION,EMR,,,SEX,Male,1992,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
5061361,COUNTRY,TGO,AFR,Africa,SEX,Male,1992,2.1 [1.6 - 2.9],2.1,1.6,2.9
5086120,COUNTRY,MLI,AFR,Africa,SEX,Male,1992,1.4 [0.98 - 1.9],1.4,0.98,1.9
5091778,COUNTRY,GMB,AFR,Africa,SEX,Male,1992,0.54 [0.29 - 0.85],0.54,0.29,0.85
5183265,COUNTRY,ATG,AMR,Americas,SEX,Male,1992,No data,,,
5251168,COUNTRY,SRB,EUR,Europe,SEX,Male,1992,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
5259451,COUNTRY,PRY,AMR,Americas,SEX,Male,1992,<0.01 [<0.01 - <0.1],0.01,0.01,0.1
5266010,COUNTRY,LBN,EMR,Eastern Mediterranean,SEX,Male,1992,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
5310449,COUNTRY,BHS,AMR,Americas,SEX,Male,1992,2 [1.7 - 2.3],2.0,1.7,2.3
5310691,COUNTRY,NIU,WPR,Western Pacific,SEX,Male,1992,No data,,,
5312731,COUNTRY,RWA,AFR,Africa,SEX,Male,1992,3.7 [2.9 - 4.6],3.7,2.9,4.6
5411366,COUNTRY,BEN,AFR,Africa,SEX,Male,1992,1.1 [0.73 - 1.4],1.1,0.73,1.4
5543333,COUNTRY,VEN,AMR,Americas,SEX,Male,1992,0.18 [0.14 - 0.22],0.18,0.14,0.22
5626065,COUNTRY,JOR,EMR,Eastern Mediterranean,SEX,Male,1992,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
5683968,COUNTRY,BGR,EUR,Europe,SEX,Male,1992,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
5705637,COUNTRY,KNA,AMR,Americas,SEX,Male,1992,No data,,,
5717834,COUNTRY,FJI,WPR,Western Pacific,SEX,Male,1992,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
5978238,COUNTRY,SWE,EUR,Europe,SEX,Male,1992,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
5981620,COUNTRY,AZE,EUR,Europe,SEX,Male,1992,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
6005167,COUNTRY,TTO,AMR,Americas,SEX,Male,1992,No data,,,
6025658,COUNTRY,UKR,EUR,Europe,SEX,Male,1992,0.13 [<0.1 - 0.24],0.13,0.1,0.24
6105198,COUNTRY,SEN,AFR,Africa,SEX,Male,1992,0.36 [0.28 - 0.47],0.36,0.28,0.47
6160309,COUNTRY,OMN,EMR,Eastern Mediterranean,SEX,Male,1992,<0.1 [<0.1 - 0.14],0.1,0.1,0.14
6165358,COUNTRY,BLR,EUR,Europe,SEX,Male,1992,<0.1 [<0.01 - <0.1],0.1,0.01,0.1
6202694,COUNTRY,SVK,EUR,Europe,SEX,Male,1992,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
6202908,COUNTRY,NIC,AMR,Americas,SEX,Male,1992,0.15 [<0.1 - 0.23],0.15,0.1,0.23
6244076,REGION,AFR,,,SEX,Male,1992,3.5 [2.6 - 4.7],3.5,2.6,4.7
6314897,COUNTRY,PHL,WPR,Western Pacific,SEX,Male,1992,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
6361107,COUNTRY,POL,EUR,Europe,SEX,Male,1992,No data,,,
6369497,COUNTRY,MYS,WPR,Western Pacific,SEX,Male,1992,0.51 [0.43 - 0.59],0.51,0.43,0.59
6480152,COUNTRY,PLW,WPR,Western Pacific,SEX,Male,1992,No data,,,
6504915,COUNTRY,BEL,EUR,Europe,SEX,Male,1992,No data,,,
6563782,COUNTRY,PER,AMR,Americas,SEX,Male,1992,0.51 [0.4 - 0.65],0.51,0.4,0.65
6582415,COUNTRY,MDG,AFR,Africa,SEX,Male,1992,No data,,,
6608277,COUNTRY,ZWE,AFR,Africa,SEX,Male,1992,24 [17 - 35],24.0,17.0,35.0
6643145,COUNTRY,CYP,EUR,Europe,SEX,Male,1992,No data,,,
6679434,COUNTRY,GRD,AMR,Americas,SEX,Male,1992,No data,,,
6763923,COUNTRY,LCA,AMR,Americas,SEX,Male,1992,No data,,,
