Id,SpatialDimType,SpatialDim,ParentLocationCode,ParentLocation,YEAR,Value,NumericValue
12734,COUNTRY,NZL,WPR,Western Pacific,2017,3200 [2700 - 3600],3200.0
45821,COUNTRY,VEN,AMR,Americas,2017,100 000 [90 000 - 110 000],100000.0
74973,COUNTRY,SYC,AFR,Africa,2017,No data,
115181,COUNTRY,MKD,EUR,Europe,2017,<500 [<500 - 500],500.0
209288,COUNTRY,MDV,SEAR,South-East Asia,2017,No data,
228271,COUNTRY,GNQ,AFR,Africa,2017,No data,
316584,COUNTRY,TCD,AFR,Africa,2017,110 000 [96 000 - 140 000],110000.0
380696,REGION,EUR,,,2017,2 500 000 [2 200 000 - 2 700 000],2500000.0
394404,COUNTRY,GMB,AFR,Africa,2017,26 000 [21 000 - 33 000],26000.0
400348,COUNTRY,KNA,AMR,Americas,2017,No data,
453076,COUNTRY,BRB,AMR,Americas,2017,2100 [1900 - 2400],2100.0
458237,COUNTRY,BHS,AMR,Americas,2017,4200 [3800 - 4600],4200.0
474649,COUNTRY,PAK,EMR,Eastern Mediterranean,2017,160 000 [150 000 - 180 000],160000.0
475303,COUNTRY,LCA,AMR,Americas,2017,No data,
487370,COUNTRY,PHL,WPR,Western Pacific,2017,76 000 [64 000 - 88 000],76000.0
526750,COUNTRY,AND,EUR,Europe,2017,No data,
618387,COUNTRY,BRA,AMR,Americas,2017,830 000 [770 000 - 890 000],830000.0
681373,COUNTRY,BHR,EMR,Eastern Mediterranean,2017,No data,
699823,REGION,AMR,,,2017,3 400 000 [3 000 000 - 3 800 000],3400000.0
712010,COUNTRY,MLI,AFR,Africa,2017,120 000 [100 000 - 140 000],120000.0
772515,COUNTRY,KGZ,EUR,Europe,2017,8300 [7600 - 8800],8300.0
774944,COUNTRY,WSM,WPR,Western Pacific,2017,No data,
889883,COUNTRY,KHM,WPR,Western Pacific,2017,79 000 [71 000 - 90 000],79000.0
904268,COUNTRY,FJI,WPR,Western Pacific,2017,1400 [990 - 2400],1400.0
911460,COUNTRY,COG,AFR,Africa,2017,110 000 [92 000 - 130 000],110000.0
926060,COUNTRY,ETH,AFR,Africa,2017,640 000 [540 000 - 780 000],640000.0
1024722,COUNTRY,ALB,EUR,Europe,2017,1200 [1000 - 1300],1200.0
1068922,COUNTRY,NAM,AFR,Africa,2017,230 000 [210 000 - 250 000],230000.0
1124690,COUNTRY,UKR,EUR,Europe,2017,240 000 [210 000 - 270 000],240000.0
