Id,SpatialDimType,SpatialDim,ParentLocationCode,ParentLocation,Dim1Type,Dim1,YEAR,Value,NumericValue,Low,High
3548763,COUNTRY,UKR,EUR,Europe,SEX,Both,2007,0.39 [0.33 - 0.45],0.39,0.33,0.45
3552898,COUNTRY,ECU,AMR,Americas,SEX,Both,2007,0.17 [0.15 - 0.2],0.17,0.15,0.2
3559320,COUNTRY,SWE,EUR,Europe,SEX,Both,2007,No data,,,
3599479,COUNTRY,JAM,AMR,Americas,SEX,Both,2007,0.55 [0.46 - 0.65],0.55,0.46,0.65
3605691,COUNTRY,PLW,WPR,Western Pacific,SEX,Both,2007,No data,,,
3629799,COUNTRY,NPL,SEAR,South-East Asia,SEX,Both,2007,0.11 [0.1 - 0.12],0.11,0.1,0.12
3638884,COUNTRY,LKA,SEAR,South-East Asia,SEX,Both,2007,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
3691661,COUNTRY,BEL,EUR,Europe,SEX,Both,2007,No data,,,
3710360,COUNTRY,MKD,EUR,Europe,SEX,Both,2007,<0.1 [<0.01 - <0.1],0.1,0.01,0.1
3757561,COUNTRY,COM,AFR,Africa,SEX,Both,2007,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
3861512,COUNTRY,MMR,SEAR,South-East Asia,SEX,Both,2007,0.42 [0.38 - 0.46],0.42,0.38,0.46
3916058,COUNTRY,ERI,AFR,Africa,SEX,Both,2007,0.42 [0.28 - 0.59],0.42,0.28,0.59
3976897,COUNTRY,BFA,AFR,Africa,SEX,Both,2007,0.52 [0.42 - 0.66],0.52,0.42,0.66
3984958,COUNTRY,VEN,AMR,Americas,SEX,Both,2007,0.37 [0.28 - 0.44],0.37,0.28,0.44
4090873,COUNTRY,BEN,AFR,Africa,SEX,Both,2007,0.68 [0.55 - 0.84],0.68,0.55,0.84
4113452,COUNTRY,EGY,EMR,Eastern Mediterranean,SEX,Both,2007,<0.01 [<0.01 - <0.1],0.01,0.01,0.1
4164740,COUNTRY,AFG,EMR,Eastern Mediterranean,SEX,Both,2007,<0.1 [<0.01 - <0.1],0.1,0.01,0.1
4191542,COUNTRY,TTO,AMR,Americas,SEX,Both,2007,No data,,,
4192582,COUNTRY,GEO,EUR,Europe,SEX,Both,2007,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
4271530,COUNTRY,MNE,EUR,Europe,SEX,Both,2007,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
4282841,COUNTRY,SDN,EMR,Eastern Mediterranean,SEX,Both,2007,<0.1 [<0.1 - 0.11],0.1,0.1,0.11
4312060,COUNTRY,LUX,EUR,Europe,SEX,Both,2007,<0.1 [<0.1 - 0.1],0.1,0.1,0.1
4326652,COUNTRY,LVA,EUR,Europe,SEX,Both,2007,0.18 [0.16 - 0.2],0.18,0.16,0.2
4387408,COUNTRY,DJI,EMR,Eastern Mediterranean,SEX,Both,2007,0.9 [0.59 - 1.5],0.9,0.59,1.5
4462378,COUNTRY,SGP,WPR,Western Pacific,SEX,Both,2007,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
4730076,COUNTRY,MRT,AFR,Africa,SEX,Both,2007,0.2 [0.14 - 0.27],0.2,0.14,0.27
4731852,COUNTRY,NIU,WPR,Western Pacific,SEX,Both,2007,No data,,,
4734966,COUNTRY,FSM,WPR,Western Pacific,SEX,Both,2007,No data,,,
4847871,COUNTRY,NRU,WPR,Western Pacific,SEX,Both,2007,No data,,,
4850909,REGION,AFR,,,SEX,Both,2007,2.2 [1.6 - 2.9],2.2,1.6,2.9
4903837,COUNTRY,IDN,SEAR,South-East Asia,SEX,Both,2007,0.21 [0.19 - 0.23],0.21,0.19,0.23
4928050,COUNTRY,BIH,EUR,Europe,SEX,Both,2007,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
4991937,COUNTRY,PAK,EMR,Eastern Mediterranean,SEX,Both,2007,No data,,,
4994698,COUNTRY,TUN,EMR,Eastern Mediterranean,SEX,Both,2007,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
5160476,COUNTRY,MHL,WPR,Western Pacific,SEX,Both,2007,No data,,,
5164701,COUNTRY,BGD,SEAR,South-East Asia,SEX,Both,2007,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
5206069,COUNTRY,VCT,AMR,Americas,SEX,Both,2007,No data,,,
5224143,COUNTRY,SEN,AFR,Africa,SEX,Both,2007,0.25 [0.21 - 0.31],0.25,0.21,0.31
5233267,COUNTRY,MYS,WPR,Western Pacific,SEX,Both,2007,0.21 [0.19 - 0.23],0.21,0.19,0.23
5310927,REGION,AMR,,,SEX,Both,2007,0.2 [0.16 - 0.24],0.2,0.16,0.24
5315088,COUNTRY,SLB,WPR,Western Pacific,SEX,Both,2007,No data,,,
5412502,COUNTRY,CHN,WPR,Western Pacific,SEX,Both,2007,No data,,,
5450490,COUNTRY,KWT,EMR,Eastern Mediterranean,SEX,Both,2007,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
5451786,REGION,EMR,,,SEX,Both,2007,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
5489020,COUNTRY,LCA,AMR,Americas,SEX,Both,2007,No data,,,
5490043,COUNTRY,TGO,AFR,Africa,SEX,Both,2007,1.4 [1.1 - 1.8],1.4,1.1,1.8
5546053,COUNTRY,ITA,EUR,Europe,SEX,Both,2007,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
5734870,COUNTRY,GUY,AMR,Americas,SEX,Both,2007,0.74 [0.46 - 1.3],0.74,0.46,1.3
5761733,COUNTRY,FRA,EUR,Europe,SEX,Both,2007,0.12 [<0.1 - 0.13],0.12,0.1,0.13
