Id,SpatialDimType,SpatialDim,ParentLocationCode,ParentLocation,YEAR,Value,NumericValue
19363,COUNTRY,SLV,AMR,Americas,2002,16 000 [14 000 - 17 000],16000.0
33572,COUNTRY,KIR,WPR,Western Pacific,2002,No data,
78372,COUNTRY,BIH,EUR,Europe,2002,<100 [<100 - <100],100.0
140854,COUNTRY,AZE,EUR,Europe,2002,5400 [4000 - 7200],5400.0
146640,COUNTRY,IRN,EMR,Eastern Mediterranean,2002,24 000 [14 000 - 38 000],24000.0
157734,COUNTRY,PAK,EMR,Eastern Mediterranean,2002,1100 [950 - 1200],1100.0
159113,COUNTRY,GEO,EUR,Europe,2002,<500 [<500 - <500],500.0
205271,COUNTRY,YEM,EMR,Eastern Mediterranean,2002,2300 [1500 - 3600],2300.0
238398,COUNTRY,MRT,AFR,Africa,2002,9300 [7900 - 11 000],9300.0
268705,COUNTRY,BLR,EUR,Europe,2002,4200 [3300 - 5200],4200.0
280845,COUNTRY,TUV,WPR,Western Pacific,2002,No data,
300179,COUNTRY,TGO,AFR,Africa,2002,120 000 [96 000 - 150 000],120000.0
313175,COUNTRY,BRA,AMR,Americas,2002,410 000 [380 000 - 430 000],410000.0
360812,COUNTRY,FJI,WPR,Western Pacific,2002,<500 [<200 - 690],500.0
394167,COUNTRY,BOL,AMR,Americas,2002,16 000 [13 000 - 19 000],16000.0
405096,COUNTRY,CUB,AMR,Americas,2002,7100 [6000 - 8200],7100.0
420658,COUNTRY,MWI,AFR,Africa,2002,940 000 [880 000 - 1 000 000],940000.0
438759,COUNTRY,PNG,WPR,Western Pacific,2002,18 000 [16 000 - 20 000],18000.0
506880,COUNTRY,KNA,AMR,Americas,2002,No data,
552882,COUNTRY,PLW,WPR,Western Pacific,2002,No data,
586789,COUNTRY,KWT,EMR,Eastern Mediterranean,2002,<200 [<100 - <500],200.0
589899,COUNTRY,ERI,AFR,Africa,2002,27 000 [19 000 - 35 000],27000.0
639964,COUNTRY,ISL,EUR,Europe,2002,<100 [<100 - <200],100.0
661579,COUNTRY,DNK,EUR,Europe,2002,4300 [3700 - 4800],4300.0
702417,COUNTRY,CYP,EUR,Europe,2002,No data,
728497,COUNTRY,DJI,EMR,Eastern Mediterranean,2002,15 000 [12 000 - 19 000],15000.0
751305,COUNTRY,SLB,WPR,Western Pacific,2002,No data,
768461,COUNTRY,MDV,SEAR,South-East Asia,2002,No data,
826001,COUNTRY,BGD,SEAR,South-East Asia,2002,2100 [2100 - 2100],2100.0
834938,REGION,SEAR,,,2002,4 800 000 [4 200 000 - 5 700 000],4800000.0
859198,COUNTRY,MOZ,AFR,Africa,2002,1 000 000 [930 000 - 1 100 000],1000000.0
1018306,COUNTRY,UZB,EUR,Europe,2002,No data,
1023407,COUNTRY,OMN,EMR,Eastern Mediterranean,2002,1100 [960 - 1300],1100.0
1041515,COUNTRY,MLT,EUR,Europe,2002,<200 [<200 - <200],200.0
1133944,COUNTRY,ATG,AMR,Americas,2002,No data,
1227277,COUNTRY,SRB,EUR,Europe,2002,1100 [850 - 1300],1100.0
1229629,COUNTRY,AUS,WPR,Western Pacific,2002,14 000 [13 000 - 15 000],14000.0
1276114,COUNTRY,DEU,EUR,Europe,2002,No data,
1332602,COUNTRY,LTU,EUR,Europe,2002,1300 [1100 - 1500],1300.0
1337007,COUNTRY,NAM,AFR,Africa,2002,180 000 [170 000 - 200 000],180000.0
1361675,COUNTRY,SMR,EUR,Europe,2002,No data,
1448231,COUNTRY,DOM,AMR,Americas,2002,76 000 [65 000 - 88 000],76000.0
1555621,COUNTRY,NLD,EUR,Europe,2002,12 000 [11 000 - 14 000],12000.0
1691633,COUNTRY,GIN,AFR,Africa,2002,81 000 [69 000 - 98 000],81000.0
1735742,COUNTRY,DZA,AFR,Africa,2002,3500 [3300 - 3600],3500.0
1754292,COUNTRY,HRV,EUR,Europe,2002,670 [570 - 750],670.0
1757406,COUNTRY,NIC,AMR,Americas,2002,7800 [6000 - 10000],7800.0
1959217,COUNTRY,VUT,WPR,Western Pacific,2002,No data,
1972038,COUNTRY,USA,AMR,Americas,2002,No data,
2002952,COUNTRY,CPV,AFR,Africa,2002,1600 [1300 - 2000],1600.0
2046220,COUNTRY,LBR,AFR,Africa,2002,46 000 [39 000 - 55 000],46000.0
2049317,COUNTRY,RWA,AFR,Africa,2002,230 000 [210 000 - 250 000],230000.0
2071734,COUNTRY,LSO,AFR,Africa,2002,240 000 [220 000 - 260 000],240000.0
2168539,COUNTRY,AUT,EUR,Europe,2002,No data,
2203107,COUNTRY,CHE,EUR,Europe,2002,9800 [8600 - 11 000],9800.0
2323894,COUNTRY,TON,WPR,Western Pacific,2002,No data,
2353890,COUNTRY,FSM,WPR,Western Pacific,2002,No data,
2404984,COUNTRY,TUR,EUR,Europe,2002,No data,
2419597,COUNTRY,BDI,AFR,Africa,2002,110 000 [94 000 - 130 000],110000.0
