Id,SpatialDimType,SpatialDim,ParentLocationCode,ParentLocation,YEAR,Value,NumericValue
4440,COUNTRY,YEM,EMR,Eastern Mediterranean,2004,3200 [2200 - 4600],3200.0
12770,COUNTRY,PRK,SEAR,South-East Asia,2004,No data,
86668,COUNTRY,QAT,EMR,Eastern Mediterranean,2004,<100 [<100 - <100],100.0
139658,COUNTRY,EGY,EMR,Eastern Mediterranean,2004,2400 [2200 - 2700],2400.0
287646,COUNTRY,EST,EUR,Europe,2004,3900 [3400 - 4400],3900.0
335700,COUNTRY,RWA,AFR,Africa,2004,220 000 [210 000 - 250 000],220000.0
516698,COUNTRY,SOM,EMR,Eastern Mediterranean,2004,22 000 [18 000 - 26 000],22000.0
516925,COUNTRY,BDI,AFR,Africa,2004,100 000 [90 000 - 120 000],100000.0
552730,COUNTRY,CYP,EUR,Europe,2004,No data,
605304,COUNTRY,NAM,AFR,Africa,2004,190 000 [180 000 - 210 000],190000.0
672760,COUNTRY,IRN,EMR,Eastern Mediterranean,2004,37 000 [25 000 - 51 000],37000.0
677568,COUNTRY,NGA,AFR,Africa,2004,1 700 000 [1 600 000 - 1 900 000],1700000.0
830273,COUNTRY,TUN,EMR,Eastern Mediterranean,2004,2600 [1500 - 4300],2600.0
844237,COUNTRY,SLE,AFR,Africa,2004,52 000 [43 000 - 64 000],52000.0
873978,COUNTRY,SAU,EMR,Eastern Mediterranean,2004,8600 [8000 - 9300],8600.0
963301,COUNTRY,ATG,AMR,Americas,2004,No data,
1063245,COUNTRY,MOZ,AFR,Africa,2004,1 200 000 [1 100 000 - 1 300 000],1200000.0
1073304,COUNTRY,TLS,SEAR,South-East Asia,2004,760 [660 - 1000],760.0
1095507,COUNTRY,MDA,EUR,Europe,2004,13 000 [11 000 - 16 000],13000.0
1101665,COUNTRY,SEN,AFR,Africa,2004,43 000 [36 000 - 51 000],43000.0
1235880,COUNTRY,MDV,SEAR,South-East Asia,2004,No data,
1427874,COUNTRY,MUS,AFR,Africa,2004,7300 [5800 - 8700],7300.0
1447863,COUNTRY,ECU,AMR,Americas,2004,24 000 [21 000 - 29 000],24000.0
1466827,COUNTRY,SDN,EMR,Eastern Mediterranean,2004,21 000 [16 000 - 29 000],21000.0
1690995,COUNTRY,TGO,AFR,Africa,2004,120 000 [97 000 - 150 000],120000.0
1701219,COUNTRY,VUT,WPR,Western Pacific,2004,No data,
1712625,COUNTRY,ARG,AMR,Americas,2004,69 000 [63 000 - 73 000],69000.0
1718219,COUNTRY,DZA,AFR,Africa,2004,4900 [4600 - 5100],4900.0
1748439,COUNTRY,FJI,WPR,Western Pacific,2004,<500 [<500 - 680],500.0
1763552,REGION,SEAR,,,2004,4 600 000 [4 000 000 - 5 400 000],4600000.0
1840038,COUNTRY,CIV,AFR,Africa,2004,640 000 [570 000 - 720 000],640000.0
1988743,COUNTRY,GEO,EUR,Europe,2004,650 [540 - 750],650.0
2026984,COUNTRY,CUB,AMR,Americas,2004,11 000 [8800 - 12 000],11000.0
2113024,COUNTRY,VNM,WPR,Western Pacific,2004,170 000 [150 000 - 190 000],170000.0
2129349,REGION,WPR,,,2004,1 100 000 [1 000 000 - 1 200 000],1100000.0
2138848,COUNTRY,TZA,AFR,Africa,2004,1 200 000 [1 100 000 - 1 300 000],1200000.0
2148891,COUNTRY,JOR,EMR,Eastern Mediterranean,2004,<200 [<200 - <200],200.0
2207936,COUNTRY,LSO,AFR,Africa,2004,250 000 [230 000 - 270 000],250000.0
2248380,COUNTRY,MNG,WPR,Western Pacific,2004,<500 [<200 - <500],500.0
2271542,COUNTRY,USA,AMR,Americas,2004,No data,
2282773,COUNTRY,AGO,AFR,Africa,2004,180 000 [150 000 - 200 000],180000.0
2288476,COUNTRY,SVK,EUR,Europe,2004,<500 [<200 - <500],500.0
2292661,COUNTRY,NIC,AMR,Americas,2004,8100 [6400 - 10 000],8100.0
2321057,COUNTRY,CRI,AMR,Americas,2004,5300 [4800 - 5800],5300.0
2377233,COUNTRY,KHM,WPR,Western Pacific,2004,85 000 [74 000 - 96 000],85000.0
2412269,COUNTRY,NRU,WPR,Western Pacific,2004,No data,
